"ensembl","gene","tissue","cell_type","level","reliability"
"ENSG00000189143","CLDN4","skin 1","extracellular matrix","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 1","fibrohistiocytic cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 1","langerhans cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 1","lymphocytes","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 1","melanocytes","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 1","vascular mural cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 2","cells in basal layer","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 2","cells in corneal layer","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 2","cells in granular layer","High","Enhanced"
"ENSG00000189143","CLDN4","skin 2","cells in spinous layer","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 2","endothelial cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 2","extracellular matrix","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 2","fibrohistiocytic cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 2","langerhans cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 2","lymphocytes","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 2","melanocytes","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 2","vascular mural cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","small intestine","endocrine cells","High","Enhanced"
"ENSG00000189143","CLDN4","small intestine","enterocytes","High","Enhanced"
"ENSG00000189143","CLDN4","small intestine","enterocytes - Microvilli","Not detected","Enhanced"
"ENSG00000189143","CLDN4","small intestine","goblet cells","High","Enhanced"
"ENSG00000189143","CLDN4","small intestine","paneth cells","High","Enhanced"
"ENSG00000189143","CLDN4","smooth muscle","smooth muscle cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","soft tissue 1","chondrocytes","Not detected","Enhanced"
"ENSG00000189143","CLDN4","soft tissue 1","fibroblasts","Not detected","Enhanced"
"ENSG00000189143","CLDN4","soft tissue 2","fibroblasts","Not detected","Enhanced"
"ENSG00000189143","CLDN4","spleen","cells in red pulp","Not detected","Enhanced"
"ENSG00000189143","CLDN4","spleen","cells in white pulp","Not detected","Enhanced"
"ENSG00000189143","CLDN4","stomach 1","glandular cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","stomach 2","glandular cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","testis","cells in seminiferous ducts","Not detected","Enhanced"
"ENSG00000189143","CLDN4","testis","Leydig cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","thyroid gland","glandular cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","tonsil","germinal center cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","tonsil","non-germinal center cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","tonsil","squamous epithelial cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","urinary bladder","urothelial cells","High","Enhanced"
"ENSG00000189143","CLDN4","vagina","squamous epithelial cells","Low","Enhanced"
