sample,_study,detailed_category,_sample_type,primary disease or tissue,CLDN4
TARGET-50-PAJNVE-01,TARGET,Wilms Tumor,Primary Solid Tumor,Wilms Tumor,6.14
TCGA-S9-A6TS-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-1.47
TCGA-S9-A6TW-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-4.293
GTEX-13FLW-0011-R7b-SM-5L3EZ,GTEX,Brain - Putamen (Basal Ganglia),Normal Tissue,Brain - Putamen (Basal Ganglia),-2.548
TCGA-UB-A7MC-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,4.346
TCGA-YL-A9WJ-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,9.219
TCGA-QR-A700-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,-1.732
GTEX-XMD1-0011-R1A-SM-4AT4C,GTEX,Brain - Hippocampus,Normal Tissue,Brain - Hippocampus,-1.431
TCGA-2H-A9GR-01,TCGA,Esophageal Carcinoma,Primary Tumor,Esophageal Carcinoma,8.588
TCGA-G2-A2EK-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,8.259
GTEX-TKQ1-0626-SM-4DXTS,GTEX,Colon - Transverse,Normal Tissue,Colon - Transverse,0.2277
GTEX-Q734-2226-SM-3GAD9,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-0.1665
TCGA-24-1558-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,9.067
GTEX-S7PM-0011-R6A-SM-3NM8F,GTEX,Brain - Nucleus Accumbens (Basal Ganglia),Normal Tissue,Brain - Nucleus Accumbens (Basal Ganglia),-3.308
TCGA-44-3398-11,TCGA,Lung Adenocarcinoma,Solid Tissue Normal,Lung Adenocarcinoma,6.535
TCGA-BH-A18H-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,8.694
GTEX-ZLV1-1426-SM-4WWES,GTEX,Breast - Mammary Tissue,Normal Tissue,Breast - Mammary Tissue,6.774
GTEX-N7MS-2326-SM-2HMLD,GTEX,Thyroid,Normal Tissue,Thyroid,6.676
TCGA-IB-AAUU-01,TCGA,Pancreatic Adenocarcinoma,Primary Tumor,Pancreatic Adenocarcinoma,9.781
GTEX-113IC-0226-SM-5HL5C,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,0.4125
TCGA-BP-4988-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,2.635
TCGA-E1-5303-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-1.994
TCGA-FD-A3SO-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,7.033
TCGA-DX-A23R-01,TCGA,Sarcoma,Primary Tumor,Sarcoma,-0.013
TARGET-30-PATAYJ-01,TARGET,Neuroblastoma,Primary Solid Tumor,Neuroblastoma,0.6425
TCGA-60-2708-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,5.79
TCGA-3T-AA9L-01,TCGA,Thymoma,Primary Tumor,Thymoma,-0.1031
GTEX-P4PP-0626-SM-3NM9X,GTEX,Esophagus - Mucosa,Normal Tissue,Esophagus - Mucosa,7.513
TCGA-DU-7299-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-3.816
TCGA-A8-A08R-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,8.411
GTEX-ZTSS-0005-SM-4YCDR,GTEX,Whole Blood,Normal Tissue,Whole Blood,-3.308
TARGET-10-PANWVW-09,TARGET,Acute Lymphoblastic Leukemia,Primary Blood Derived Cancer - Bone Marrow,Acute Lymphoblastic Leukemia,-3.816
TCGA-LN-A5U7-01,TCGA,Esophageal Carcinoma,Primary Tumor,Esophageal Carcinoma,4.259
TCGA-33-AAS8-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,6.077
TCGA-G4-6302-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,8.401
TCGA-BH-A0C1-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,7.852
TCGA-09-1665-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,8.208
TCGA-V1-A9Z9-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,7.418
GTEX-SSA3-0226-SM-32QPN,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,1.516
GTEX-11ZTS-0008-SM-5S2VC,GTEX,Cells - Transformed Fibroblasts,Cell Line,Cells - Transformed Fibroblasts,-0.3566
TCGA-XE-A8H4-01,TCGA,Testicular Germ Cell Tumor,Primary Tumor,Testicular Germ Cell Tumor,0.2029
TCGA-DH-5140-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-2.635
TCGA-FP-8209-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,6.054
TCGA-50-8459-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,6.23
TARGET-50-PAJNZS-01,TARGET,Wilms Tumor,Primary Solid Tumor,Wilms Tumor,5.313
GTEX-QDVN-2026-SM-3GAEP,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),6.615
TCGA-LN-A5U6-01,TCGA,Esophageal Carcinoma,Primary Tumor,Esophageal Carcinoma,6.266
GTEX-YECK-0005-SM-4W217,GTEX,Whole Blood,Normal Tissue,Whole Blood,-4.293
TCGA-2Z-A9JR-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,9.036
GTEX-139UW-0011-R11a-SM-5IJGN,GTEX,Brain - Cerebellar Hemisphere,Normal Tissue,Brain - Cerebellar Hemisphere,-0.5973
TCGA-HC-7747-11,TCGA,Prostate Adenocarcinoma,Solid Tissue Normal,Prostate Adenocarcinoma,6.9
GTEX-RN64-1026-SM-48FDX,GTEX,Esophagus - Mucosa,Normal Tissue,Esophagus - Mucosa,7.263
GTEX-13W46-1226-SM-5SIAS,GTEX,Adipose - Visceral (Omentum),Normal Tissue,Adipose - Visceral (Omentum),-1.831
GTEX-13PL6-2926-SM-5L3I2,GTEX,Breast - Mammary Tissue,Normal Tissue,Breast - Mammary Tissue,7.424
TCGA-85-A4PA-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,3.453
TCGA-S9-A7QX-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-2.315
TCGA-98-8023-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,5.943
GTEX-13QBU-0826-SM-5IJBU,GTEX,Esophagus - Gastroesophageal Junction,Normal Tissue,Esophagus - Gastroesophageal Junction,-1.149
GTEX-QVJO-0006-SM-2S1RC,GTEX,Whole Blood,Normal Tissue,Whole Blood,-9.966
GTEX-Y3I4-1626-SM-4TT7W,GTEX,Stomach,Normal Tissue,Stomach,4.632
TCGA-39-5029-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,7.847
GTEX-132Q8-0006-SM-5NQA4,GTEX,Whole Blood,Normal Tissue,Whole Blood,-2.727
TCGA-56-7823-11,TCGA,Lung Squamous Cell Carcinoma,Solid Tissue Normal,Lung Squamous Cell Carcinoma,6.684
TCGA-63-A5MS-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,5.068
TCGA-CV-7101-11,TCGA,Head & Neck Squamous Cell Carcinoma,Solid Tissue Normal,Head & Neck Squamous Cell Carcinoma,9.946
GTEX-139T6-1026-SM-5IJGC,GTEX,Small Intestine - Terminal Ileum,Normal Tissue,Small Intestine - Terminal Ileum,7.193
GTEX-11ILO-0726-SM-5HL5I,GTEX,Lung,Normal Tissue,Lung,5.008
TCGA-BP-4353-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,3.81
TARGET-10-PANSDA-04,TARGET,Acute Lymphoblastic Leukemia,Recurrent Blood Derived Cancer - Bone Marrow,Acute Lymphoblastic Leukemia,-3.458
TCGA-DI-A2QT-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,6.116
TCGA-CC-A9FW-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,0.0014
GTEX-Q734-1026-SM-48U16,GTEX,Stomach,Normal Tissue,Stomach,1.125
TCGA-BJ-A28Z-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,7.307
TCGA-RB-A7B8-01,TCGA,Pancreatic Adenocarcinoma,Primary Tumor,Pancreatic Adenocarcinoma,7.159
TCGA-TT-A6YP-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,-0.5973
GTEX-Y114-2526-SM-4TT8M,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-2.932
TCGA-AB-2942-03,TCGA,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,Acute Myeloid Leukemia,-9.966
GTEX-145LS-1226-SM-5Q5D9,GTEX,Lung,Normal Tissue,Lung,7.583
GTEX-ZF2S-2026-SM-5E461,GTEX,Breast - Mammary Tissue,Normal Tissue,Breast - Mammary Tissue,7.249
TCGA-24-1928-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,8.94
TCGA-VS-A958-01,TCGA,Cervical & Endocervical Cancer,Primary Tumor,Cervical & Endocervical Cancer,7.142
TCGA-BR-A4QI-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,8.598
TCGA-25-1870-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,-9.966
TCGA-AB-2803-03,TCGA,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,Acute Myeloid Leukemia,-9.966
GTEX-1269C-2526-SM-5EGJ3,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),7.482
TCGA-AU-6004-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,8.378
TCGA-IM-A420-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,8.556
GTEX-1313W-3026-SM-5LZUZ,GTEX,Brain - Cerebellum,Normal Tissue,Brain - Cerebellum,-0.1993
TCGA-BQ-5878-11,TCGA,Kidney Papillary Cell Carcinoma,Solid Tissue Normal,Kidney Papillary Cell Carcinoma,5.441
GTEX-133LE-1426-SM-5IFH1,GTEX,Small Intestine - Terminal Ileum,Normal Tissue,Small Intestine - Terminal Ileum,7.258
TCGA-A4-7915-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,8.923
TCGA-EL-A4K1-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,7.143
TCGA-69-7980-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,9.07
GTEX-ZDYS-0426-SM-5IJEQ,GTEX,Lung,Normal Tissue,Lung,6.642
TCGA-L4-A4E5-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,9.137
GTEX-139UC-3226-SM-5N9EZ,GTEX,Brain - Cerebellum,Normal Tissue,Brain - Cerebellum,1.215
TCGA-77-7465-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,4.461
TCGA-WC-A882-01,TCGA,Uveal Melanoma,Primary Tumor,Uveal Melanoma,-3.308
GTEX-WL46-3026-SM-3LK7Z,GTEX,Pituitary,Normal Tissue,Pituitary,3.805
TCGA-DC-6683-01,TCGA,Rectum Adenocarcinoma,Primary Tumor,Rectum Adenocarcinoma,9.796
TCGA-GS-A9TU-01,TCGA,Diffuse Large B-Cell Lymphoma,Primary Tumor,Diffuse Large B-Cell Lymphoma,-5.012
GTEX-13OVH-1026-SM-5J2NP,GTEX,Lung,Normal Tissue,Lung,6.142
GTEX-11DXY-0826-SM-5EGGR,GTEX,Heart - Left Ventricle,Normal Tissue,Heart - Left Ventricle,-2.635
GTEX-YEC4-1226-SM-5CVLX,GTEX,Esophagus - Gastroesophageal Junction,Normal Tissue,Esophagus - Gastroesophageal Junction,-0.2498
TCGA-DD-AAVQ-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,6.571
GTEX-X585-1826-SM-4QAS3,GTEX,Spleen,Normal Tissue,Spleen,-0.3566
TCGA-BL-A3JM-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,5.851
GTEX-QDT8-0426-SM-32PKZ,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-2.245
GTEX-11ILO-0226-SM-5N9D3,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,0.1776
TCGA-ZF-AA4U-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,8.639
GTEX-ZYW4-0126-SM-5E44A,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),6.047
GTEX-13PLJ-0005-SM-5NQ99,GTEX,Whole Blood,Normal Tissue,Whole Blood,-5.012
TCGA-QU-A6IM-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,8.341
TCGA-AB-2866-03,TCGA,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,Acute Myeloid Leukemia,-1.318
TCGA-ZF-AA53-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,5.46
GTEX-ZZPU-0126-SM-5E446,GTEX,Spleen,Normal Tissue,Spleen,-0.8084
TCGA-CF-A9FF-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,8.428
GTEX-WXYG-0226-SM-3NB2Y,GTEX,Thyroid,Normal Tissue,Thyroid,6.687
TCGA-4P-AA8J-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,5.768
TCGA-BF-AAP8-01,TCGA,Skin Cutaneous Melanoma,Primary Tumor,Skin Cutaneous Melanoma,-1.392
GTEX-X15G-2126-SM-4PQZR,GTEX,Minor Salivary Gland,Normal Tissue,Minor Salivary Gland,7.232
TCGA-DJ-A3VK-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,7.869
TCGA-AJ-A2QO-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,8.962
GTEX-WL46-0011-R9A-SM-3MJFP,GTEX,Brain - Spinal Cord (Cervical C-1),Normal Tissue,Brain - Spinal Cord (Cervical C-1),-2.727
GTEX-13FH7-0826-SM-5J2NW,GTEX,Heart - Atrial Appendage,Normal Tissue,Heart - Atrial Appendage,-2.388
TCGA-R5-A7ZE-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,7.46
TCGA-IB-AAUO-01,TCGA,Pancreatic Adenocarcinoma,Primary Tumor,Pancreatic Adenocarcinoma,8.084
GTEX-144GN-1226-SM-5O991,GTEX,Stomach,Normal Tissue,Stomach,2.043
GTEX-11VI4-0326-SM-5EQ6L,GTEX,Stomach,Normal Tissue,Stomach,-0.8084
GTEX-14ICL-0426-SM-5RQJ3,GTEX,Thyroid,Normal Tissue,Thyroid,7.62
TCGA-CV-A45T-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,5.535
TCGA-D8-A73U-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,6.451
TCGA-EL-A4KD-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,8.019
TCGA-A4-7997-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,9.656
TCGA-BP-5183-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,5.532
TCGA-EL-A3GZ-11,TCGA,Thyroid Carcinoma,Solid Tissue Normal,Thyroid Carcinoma,8.205
GTEX-11ZU8-0011-R4a-SM-5BC6Y,GTEX,Brain - Amygdala,Normal Tissue,Brain - Amygdala,-3.816
GTEX-NL3H-0011-R3a-SM-2I3GL,GTEX,Brain - Anterior Cingulate Cortex (Ba24),Normal Tissue,Brain - Anterior Cingulate Cortex (Ba24),-1.056
TCGA-CN-6023-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,6.882
TCGA-CQ-6219-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,4.971
TARGET-10-PANUSN-04,TARGET,Acute Lymphoblastic Leukemia,Recurrent Blood Derived Cancer - Bone Marrow,Acute Lymphoblastic Leukemia,-4.608
TCGA-G7-A8LE-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,9.755
GTEX-N7MT-0011-R1a-SM-5SI7S,GTEX,Brain - Hippocampus,Normal Tissue,Brain - Hippocampus,-1.318
TCGA-LL-A8F5-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,6.346
TCGA-DQ-7595-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,8.156
GTEX-12WSK-0926-SM-5CVNQ,GTEX,Thyroid,Normal Tissue,Thyroid,7.015
TCGA-CQ-A4CH-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,6.446
TCGA-LN-A7HW-01,TCGA,Esophageal Carcinoma,Primary Tumor,Esophageal Carcinoma,6.185
TCGA-22-5472-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,9.059
GTEX-131XE-1526-SM-5KM1A,GTEX,Esophagus - Gastroesophageal Junction,Normal Tissue,Esophagus - Gastroesophageal Junction,-1.831
GTEX-WHSB-0226-SM-4M1XE,GTEX,Artery - Aorta,Normal Tissue,Artery - Aorta,-0.394
TCGA-XE-AAOB-01,TCGA,Testicular Germ Cell Tumor,Primary Tumor,Testicular Germ Cell Tumor,2.611
GTEX-13X6H-1326-SM-5LU42,GTEX,Esophagus - Mucosa,Normal Tissue,Esophagus - Mucosa,7.413
GTEX-13N1W-0011-R6a-SM-5MR43,GTEX,Brain - Nucleus Accumbens (Basal Ganglia),Normal Tissue,Brain - Nucleus Accumbens (Basal Ganglia),-1.149
TCGA-L5-A88Z-01,TCGA,Esophageal Carcinoma,Primary Tumor,Esophageal Carcinoma,8.813
TCGA-09-1661-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,7.112
TCGA-DK-A3IV-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,9.994
TCGA-BT-A2LA-11,TCGA,Bladder Urothelial Carcinoma,Solid Tissue Normal,Bladder Urothelial Carcinoma,11.26
TCGA-BP-4174-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,5.917
TCGA-CV-5973-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,6.924
GTEX-13FLV-0011-R3b-SM-5LZYP,GTEX,Brain - Anterior Cingulate Cortex (Ba24),Normal Tissue,Brain - Anterior Cingulate Cortex (Ba24),-2.178
TCGA-WE-A8K5-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,-1.685
TCGA-KS-A4I7-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,8.371
TCGA-FJ-A3Z9-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,8.026
GTEX-X4XY-0326-SM-46MVZ,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,0.2154
TCGA-24-1565-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,7.874
TCGA-C8-A8HP-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,7.832
TCGA-DU-6408-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-2.826
GTEX-ZDTS-2726-SM-5L3E2,GTEX,Colon - Sigmoid,Normal Tissue,Colon - Sigmoid,-2.245
TCGA-XU-A92V-01,TCGA,Thymoma,Primary Tumor,Thymoma,-1.149
TCGA-2G-AALR-01,TCGA,Testicular Germ Cell Tumor,Primary Tumor,Testicular Germ Cell Tumor,3.245
TCGA-CN-5358-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,5.142
TCGA-BH-A6R8-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,8.997
GTEX-T5JC-0011-R6A-SM-5SI89,GTEX,Brain - Nucleus Accumbens (Basal Ganglia),Normal Tissue,Brain - Nucleus Accumbens (Basal Ganglia),-0.2159
TCGA-AJ-A3BD-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,7.64
TCGA-KL-8342-01,TCGA,Kidney Chromophobe,Primary Tumor,Kidney Chromophobe,7.216
GTEX-13O21-2926-SM-5J1OU,GTEX,Artery - Coronary,Normal Tissue,Artery - Coronary,-0.8863
TCGA-4K-AA1H-01,TCGA,Testicular Germ Cell Tumor,Primary Tumor,Testicular Germ Cell Tumor,-0.3566
GTEX-NPJ8-0011-R8a-SM-2HMLG,GTEX,Brain - Hypothalamus,Normal Tissue,Brain - Hypothalamus,-1.086
GTEX-1445S-0011-R10a-SM-5PNWB,GTEX,Brain - Frontal Cortex (Ba9),Normal Tissue,Brain - Frontal Cortex (Ba9),-1.392
TCGA-BH-A202-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,6.031
TCGA-CF-A1HS-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,7.055
GTEX-145ME-0826-SM-5O9AF,GTEX,Colon - Transverse,Normal Tissue,Colon - Transverse,1.239
TCGA-EB-A430-01,TCGA,Skin Cutaneous Melanoma,Primary Tumor,Skin Cutaneous Melanoma,-2.178
TCGA-XF-AAMT-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,6.521
GTEX-PWO3-1526-SM-48TCM,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),7.589
TCGA-14-0789-01,TCGA,Glioblastoma Multiforme,Primary Tumor,Glioblastoma Multiforme,-1.355
TCGA-FG-5964-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-2.466
TCGA-2G-AAGY-01,TCGA,Testicular Germ Cell Tumor,Primary Tumor,Testicular Germ Cell Tumor,4.438
GTEX-UJMC-1226-SM-4IHLI,GTEX,Stomach,Normal Tissue,Stomach,0.9493
GTEX-WFG8-2426-SM-3GILL,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-3.816
TCGA-77-8150-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,8.023
TCGA-EE-A3AG-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,4.648
TCGA-CJ-4640-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,5.774
TCGA-D3-A2JP-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,-3.626
TCGA-13-1498-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,8.643
TARGET-10-PANLIC-09,TARGET,Acute Lymphoblastic Leukemia,Primary Blood Derived Cancer - Bone Marrow,Acute Lymphoblastic Leukemia,-4.293
TCGA-CE-A13K-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,8.14
GTEX-X4XY-1526-SM-4QASE,GTEX,Artery - Aorta,Normal Tissue,Artery - Aorta,-0.0277
GTEX-WFJO-0826-SM-4LVM5,GTEX,Esophagus - Mucosa,Normal Tissue,Esophagus - Mucosa,8.555
TCGA-50-5939-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,6.856
TCGA-OL-A5RY-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,6.723
TCGA-SB-A6J6-01,TCGA,Testicular Germ Cell Tumor,Primary Tumor,Testicular Germ Cell Tumor,-0.3752
GTEX-T2IS-2926-SM-32QPO,GTEX,Brain - Cerebellum,Normal Tissue,Brain - Cerebellum,-0.5543
GTEX-NPJ8-1626-SM-2HMIY,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-2.466
TCGA-78-7143-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,9.483
GTEX-QESD-1426-SM-2S1R9,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),6.977
TCGA-G8-6907-01,TCGA,Diffuse Large B-Cell Lymphoma,Primary Tumor,Diffuse Large B-Cell Lymphoma,-3.458
TCGA-EM-A1CT-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,8.766
GTEX-PLZ6-0826-SM-3P61K,GTEX,Stomach,Normal Tissue,Stomach,-1.431
TCGA-DB-A64Q-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-2.466
GTEX-13FTY-0526-SM-5L3EV,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),6.826
TCGA-BT-A0S7-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,7.195
TCGA-22-4593-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,4.399
GTEX-131XW-0011-R11a-SM-5DUV9,GTEX,Brain - Cerebellar Hemisphere,Normal Tissue,Brain - Cerebellar Hemisphere,-1.595
TARGET-30-PANYGR-01,TARGET,Neuroblastoma,Primary Solid Tumor,Neuroblastoma,0.6239
GTEX-RNOR-0008-SM-48FEY,GTEX,Cells - Transformed Fibroblasts,Cell Line,Cells - Transformed Fibroblasts,-0.3566
TCGA-S9-A6WH-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,0.3685
TCGA-75-5126-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,8.814
GTEX-Y5V6-0226-SM-4V6G7,GTEX,Lung,Normal Tissue,Lung,6.467
