sample,_study,detailed_category,_sample_type,primary disease or tissue,CLDN4
GTEX-1399U-2526-SM-5L3DL,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-3.816
TCGA-HT-A5RA-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,0.9268
GTEX-ZTTD-0326-SM-57WFW,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,1.39
TCGA-BH-A0BM-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,7.063
TCGA-E1-A7YL-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-0.5756
GTEX-146FR-0426-SM-5SI97,GTEX,Esophagus - Mucosa,Normal Tissue,Esophagus - Mucosa,7.186
TCGA-KK-A8I8-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,7.745
TCGA-A2-A04T-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,7.329
TARGET-10-PAMXSP-09,TARGET,Acute Lymphoblastic Leukemia,Primary Blood Derived Cancer - Bone Marrow,Acute Lymphoblastic Leukemia,-4.035
TCGA-OL-A5S0-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,8.931
TCGA-CG-5722-11,TCGA,Stomach Adenocarcinoma,Solid Tissue Normal,Stomach Adenocarcinoma,3.113
GTEX-14DAR-0006-SM-5N9GC,GTEX,Whole Blood,Normal Tissue,Whole Blood,-5.574
GTEX-XGQ4-2226-SM-4AT4Y,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,0.03
TCGA-DD-AADI-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,-0.8599
TCGA-E7-A6MF-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,8.733
GTEX-13113-1026-SM-5LZWM,GTEX,Esophagus - Muscularis,Normal Tissue,Esophagus - Muscularis,-0.3566
TCGA-FC-7961-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,7.609
TCGA-VQ-A8PP-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,9.64
