scFv,CLDN4,CLDN1,CLDN10,CLDN11,CLDN12,CLDN14,CLDN15,CLDN16,CLDN17,CLDN18,CLDN18.2,CLDN19,CLDN2,CLDN20,CLDN22,CLDN23,CLDN24,CLDN25,CLDN3,CLDN34,CLDN5,CLDN6,CLDN7,CLDN8,CLDN9
scfv_39_3,0.5345971911631598,0.2336712207297253,0.365607965329194,0.3507747810567088,0.3318314307150782,0.3423649922909942,0.4333966503037244,0.3177928164512923,0.3970883996612154,0.3537605024502867,0.33529235068967,0.5569709467000366,0.8082346053058458,0.3340854474098589,0.4188042800846883,0.4489069664870809,0.3689610329610813,0.444107965329194,0.3832958662581367,0.7197319637000474,0.6352277932774586,0.3644751669752788,0.2680110135750855,0.5910425352349372,0.3130776869789021
scfv_39_5,0.5431597237110034,0.5055906310135782,0.4429404713779379,0.4330404374441481,0.6089780107926993,0.5346839544691205,0.4129473920807399,0.4737075425001076,0.4861266943838136,0.2824671649736222,0.3265109881414949,0.5379734709387942,0.5605629269278081,0.2230013647743245,0.3892562542439862,0.3675160613704967,0.6315681852550474,0.6107719824016011,0.3352390592277656,0.6751040409974906,0.5976773643602583,0.3784460489420954,0.4998041032585316,0.6966238288169967,0.4938258634458898
scfv_48_1,0.8765151553249788,0.370026270538923,0.5453858215477898,0.4707454390594136,0.5306798251008651,0.3347956696843226,0.8663449408058366,0.7405703090376632,0.5148205004416953,0.3043993659755914,0.2050784532442099,0.3749490109311797,0.4003000677094195,0.5958253233408998,0.399976084687122,0.2286651798987741,0.4387246991145124,0.3584665023783301,0.3393476138163768,0.1233563697108084,0.5218267865906642,0.2380476724502405,0.2245339966072533,0.3258049167278638,0.2080321702508803
scfv_48_2,0.3663634607700113,0.4872518570985659,0.3457986068550074,0.342728746716907,0.3579678333094991,0.3727457362176549,0.6915906278998127,0.8684632337212197,0.4329314365403415,0.3625237010923731,0.3203024150496544,0.395016083437254,0.3727862590529919,0.5816306997496996,0.3614572709724011,0.2597695921280443,0.3590301908892449,0.3290024121948911,0.2344395250510654,0.2083270073496767,0.4427422049188966,0.4001576092196603,0.4304801842374134,0.3322570712489125,0.4078645679377215
scfv_50_2,0.5118875855498475,0.5295232164762521,0.408074369789087,0.7618777292372778,0.3672423768306045,0.6702076061345511,0.4491982437430261,0.3360529734920381,0.2130912073982055,0.4353923273691955,0.2628057137302735,0.2843315370860948,0.2052213383719975,0.2844475386963598,0.6099648370367723,0.264387825088033,0.4258774077624602,0.3287090710587285,0.2911661815887292,0.3181923134595625,0.2463119636496389,0.3124017108735585,0.7018910035672684,0.366125364406312,0.4807480622344098
scfv_55_6,0.8701983984195393,0.5895294873299268,0.4386085130434844,0.5805775314939453,0.3451872959042099,0.358553535140114,0.4600572843896631,0.3474228746869842,0.8568612444013044,0.4536212864653462,0.3025575041846106,0.447433112123445,0.3375716655481518,0.484492192699103,0.8359774926850216,0.4421443412621221,0.8046730243713829,0.8294201540497119,0.8457271804498837,0.7838228375390915,0.4596724349788713,0.4966761804511311,0.8117219071006835,0.8318235999967929,0.5721765806248857
scfv_55_9,0.5965563650185544,0.6530764838209033,0.7295481789978434,0.4124339532055948,0.8142886197885392,0.5535320013073666,0.5417124242843583,0.4562851975015776,0.5935169096738202,0.4055510218289833,0.3299113637056741,0.7664055253947495,0.5042317057954844,0.4239217921117826,0.4291309293355113,0.2123596547857716,0.4385872358681799,0.6862584589254934,0.5672278397533753,0.4464427615022817,0.6026826114406896,0.4724368031931144,0.4285053030499384,0.8778082578483037,0.4589777026523468
scfv_66_2,0.2372565533562713,0.8194533154852661,0.390917740415264,0.5221454837740502,0.3707370266268308,0.3269213936331781,0.4545910541320254,0.7985330644958489,0.3225847419200808,0.3027603472972318,0.3947776252761338,0.2407530848233669,0.619078458564009,0.3315123143838506,0.3411730111011885,0.2414916027362591,0.3445605604698107,0.3488034547978029,0.2669051039133967,0.4154965764639833,0.2941465914971765,0.299481460371147,0.450151728623567,0.3835609871009067,0.3360112541997975
scfv_66_6,0.1914321488967045,0.3497235988973863,0.3454673844304315,0.4495570311545888,0.303506226061926,0.3352399561740149,0.3927721129933216,0.3745860994081743,0.3028923489410037,0.4154608001573883,0.24364410886945,0.3250917300993923,0.3376405617000076,0.1622700335688511,0.3644547528720281,0.3182186197128906,0.3605034475094771,0.3441606982400325,0.2432819680977101,0.4227912794691658,0.2399096718092697,0.2289230226064186,0.498695815576178,0.2439375000052084,0.1997642955736026
scfv_66_8,0.2594416137454507,0.3444308938208059,0.3386700722465061,0.6156637657968287,0.2574021631554812,0.3651476192289672,0.6221576143035148,0.6374562522078949,0.3383879019790254,0.3957016180373248,0.3433033367266823,0.3317524567789882,0.7258499348968332,0.3639053021456473,0.3807534863457719,0.292766930114415,0.2649973350388954,0.2005494435804975,0.2619033375295823,0.3495780994562285,0.40000413440675,0.3322677656073782,0.4781588711041566,0.348606288983126,0.5656828535701868
